CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERAGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED
C100025,zero,152.67175572519085,72546.0,63,23,231336,True,2,3,195.0,520,5,1.0,5,very_sat,very_high,considering,LEAVE
C100027,one,880.0000000000001,20994.0,50,23,230919,True,0,2,136.0,175,3,3.4,5,very_sat,little,actively_looking_into_it,STAY
C100028,one,230.76923076923077,71052.5,85,27,760117,False,2,4,125.0,485,3,1.5,2,very_unsat,little,actively_looking_into_it,LEAVE
C100029,one,102.85714285714286,50955.0,55,72,706039,False,4,2,95.0,346,3,2.0,2,very_sat,very_little,actively_looking_into_it,LEAVE
C100030,zero,277.6119402985074,35579.5,75,16,159547,True,4,4,148.0,360,5,3.1,4,very_sat,very_high,actively_looking_into_it,STAY
C100031,one,112.49999999999997,39870.5,0,22,152366,True,2,2,126.0,331,0,1.2,6,very_sat,little,considering,STAY
C100032,one,495.65217391304344,21872.0,0,13,522907,True,2,2,246.0,248,1,1.8,6,unsat,very_high,actively_looking_into_it,LEAVE
C100035,zero,160.27397260273972,35376.0,0,63,228221,True,4,4,123.0,396,0,3.9,2,very_unsat,little,considering,STAY
C100036,one,2550.0,52999.0,0,82,260026,True,1,1,175.0,276,1,6.5,1,very_unsat,very_little,considering,LEAVE
C100037,zero,230.0319488817891,61707.0,213,0,341157,True,4,4,126.0,300,15,1.4,8,unsat,little,considering,LEAVE
C100038,zero,444.82758620689657,14377.0,0,19,222289,True,3,3,105.0,151,0,3.3,5,very_sat,little,actively_looking_into_it,STAY
C100041,one,681.8181818181818,75238.0,54,7,339491,True,0,3,135.0,835,3,2.5,6,sat,little,considering,LEAVE
C100043,one,133.8289962825279,30571.0,169,12,189777,True,1,1,172.0,176,14,1.2,6,very_unsat,very_high,never_thought,LEAVE
C100044,one,2880.0,15936.0,0,0,750531,False,3,1,129.0,172,0,8.6,9,avg,high,no,STAY
C100045,zero,494.1176470588235,40079.5,70,73,743905,False,0,3,131.0,271,3,3.8,2,sat,very_high,no,STAY
C100048,zero,412.1405750798723,44681.0,213,0,451911,True,0,1,222.0,357,18,4.3,15,very_unsat,very_high,considering,LEAVE
C100049,one,611.111111111111,56609.0,62,0,164741,True,1,4,102.0,587,3,3.3,15,unsat,very_little,actively_looking_into_it,LEAVE
C100050,zero,1200.0,58737.5,0,0,238743,True,4,1,153.0,596,0,4.0,15,avg,very_little,actively_looking_into_it,LEAVE
C100051,zero,570.0,75745.0,0,17,784010,False,1,2,188.0,862,0,2.9,4,very_sat,very_high,considering,STAY
C100053,one,70.37037037037037,21489.0,0,71,307927,True,3,3,156.0,169,16,1.9,4,sat,high,no,LEAVE
C100054,one,810.0,74485.5,0,10,184708,True,3,1,152.0,858,0,4.4,5,avg,very_high,considering,STAY
C100056,zero,516.9902912621359,66097.0,162,15,189802,True,6,3,97.0,257,19,6.1,4,avg,very_little,actively_looking_into_it,LEAVE
C100057,one,53.31179321486269,26391.0,69,45,811517,False,2,1,223.0,234,3,2.1,2,very_sat,high,considering,STAY
C100059,zero,282.3529411764706,40412.0,240,24,355251,True,0,3,226.0,168,22,1.2,5,avg,little,actively_looking_into_it,LEAVE
C100061,one,315.5339805825243,32016.5,68,45,194615,True,3,3,239.0,313,3,4.5,2,very_unsat,little,no,LEAVE
C100062,one,928.5714285714286,72260.0,68,67,273850,True,1,2,158.0,830,3,5.2,1,very_sat,little,no,LEAVE
C100063,zero,604.0955631399318,80157.5,193,0,694243,False,1,3,84.0,848,0,4.9,13,very_sat,very_high,considering,LEAVE
C100064,one,1140.0,41345.5,0,0,475114,True,3,1,122.0,303,4,3.8,12,very_sat,very_high,never_thought,STAY
C100065,zero,184.14322250639384,38136.0,51,24,181549,True,5,4,176.0,252,5,2.4,4,avg,very_high,actively_looking_into_it,STAY
C100066,zero,1620.0,22963.0,0,84,428431,True,1,3,280.0,210,1,6.4,2,very_sat,very_high,no,STAY
C100067,zero,382.1656050955415,63986.5,57,5,740280,False,0,4,88.0,718,5,3.0,5,avg,high,never_thought,STAY
C100068,one,796.2962962962963,29921.5,62,38,723488,False,1,4,109.0,189,3,3.3,2,very_sat,very_little,actively_looking_into_it,LEAVE
C100070,one,86.84863523573202,37361.5,229,88,181720,True,2,2,180.0,235,14,1.5,1,avg,little,no,LEAVE
C100071,one,566.4335664335664,84335.5,186,60,681994,False,1,3,162.0,849,19,4.4,1,very_unsat,little,considering,LEAVE
C100073,zero,1020.0,17427.0,0,21,738527,False,1,3,168.0,189,0,2.4,5,unsat,very_high,actively_looking_into_it,STAY
C100074,zero,849.0566037735849,58848.5,59,0,294978,True,3,1,113.0,201,4,2.5,4,very_sat,little,no,LEAVE
C100075,zero,504.8543689320389,47294.5,209,0,544289,True,5,2,152.0,307,25,4.2,10,unsat,little,actively_looking_into_it,STAY
C100076,zero,420.0,20374.5,0,0,573932,True,1,4,172.0,242,0,1.4,14,very_unsat,very_high,actively_looking_into_it,LEAVE
C100077,zero,731.7073170731708,20782.0,64,0,314913,True,4,1,97.0,583,1,2.0,13,very_unsat,very_little,never_thought,LEAVE
C100079,one,431.37254901960785,55445.0,53,0,610426,False,3,1,189.0,471,5,1.2,11,sat,little,no,STAY
C100080,zero,316.29392971246006,49343.0,213,0,642784,False,2,2,204.0,319,22,2.3,13,very_sat,very_little,actively_looking_into_it,LEAVE
C100081,zero,185.50106609808103,62914.0,199,17,974689,False,4,3,153.0,368,1,1.9,6,unsat,very_high,considering,STAY
C100082,zero,840.0,10972.0,0,0,351845,True,2,3,143.0,201,1,1.8,11,unsat,very_little,actively_looking_into_it,LEAVE
C100083,one,132.20338983050846,15266.0,0,49,164813,True,2,2,153.0,211,0,1.6,14,very_sat,very_little,considering,STAY
C100084,one,606.060606060606,94281.5,197,0,240833,True,3,1,142.0,147,24,5.0,15,very_sat,very_little,no,LEAVE
C100085,one,182.52212389380531,69772.5,154,65,166810,True,4,1,96.0,549,22,6.5,2,very_unsat,very_high,considering,STAY
C100086,one,193.18181818181822,33761.5,198,23,188088,True,3,1,256.0,246,0,2.4,6,very_sat,very_high,considering,LEAVE
C100087,one,990.0,72673.0,40,6,808321,False,3,4,157.0,898,3,4.6,5,very_unsat,little,considering,LEAVE
C100088,zero,337.2365339578455,80146.5,37,29,164593,True,4,4,122.0,589,5,2.8,2,very_unsat,little,never_thought,LEAVE
C100089,zero,91.07142857142858,78588.0,0,46,796021,False,3,2,235.0,594,5,1.7,2,avg,very_little,actively_looking_into_it,STAY
C100090,zero,229.99999999999997,67009.5,200,20,434937,True,1,1,187.0,294,18,2.3,6,very_unsat,very_little,no,LEAVE
C100091,zero,920.4545454545455,23022.5,76,53,502464,True,1,3,146.0,194,5,4.4,12,very_unsat,very_little,never_thought,LEAVE
C100092,zero,500.00000000000006,54792.0,194,76,151927,True,0,3,154.0,303,24,4.9,1,very_unsat,very_high,no,LEAVE
C100093,zero,600.0,52560.0,0,0,262502,True,0,4,198.0,414,1,2.0,5,unsat,high,actively_looking_into_it,LEAVE
C100094,one,483.33333333333326,53044.0,0,8,194267,True,2,1,79.0,440,0,3.9,4,very_unsat,very_high,actively_looking_into_it,STAY
C100096,zero,0.0,75632.0,25,0,224263,True,0,2,210.0,363,3,1.0,9,very_unsat,little,considering,STAY
C100097,one,376.6816143497757,47978.5,73,5,586446,True,2,3,136.0,343,3,2.8,5,very_sat,little,considering,STAY
C100098,one,1260.0,43580.0,0,30,406762,True,1,4,176.0,353,1,4.2,2,very_unsat,high,actively_looking_into_it,STAY
C100099,zero,391.304347826087,19782.5,0,13,266458,True,2,4,131.0,154,1,2.0,5,avg,very_little,actively_looking_into_it,STAY
C100101,zero,412.1405750798723,46053.5,213,0,201108,True,2,1,188.0,139,15,2.3,11,very_unsat,little,actively_looking_into_it,LEAVE
C100102,zero,239.1304347826087,49245.5,230,36,513562,True,2,2,205.0,328,24,3.5,1,very_unsat,little,actively_looking_into_it,LEAVE
C100103,zero,246.57534246575347,45747.0,243,46,363920,True,2,2,129.0,238,0,4.6,1,very_sat,little,actively_looking_into_it,LEAVE
C100104,zero,533.1010452961672,97523.5,187,0,692976,False,2,2,243.0,835,20,4.1,13,very_unsat,very_high,considering,STAY
C100105,one,1140.0,57782.0,0,0,342568,True,2,2,183.0,880,1,2.8,13,very_unsat,very_little,considering,STAY
C100106,zero,327.1028037383178,46489.5,221,0,984262,False,2,1,106.0,131,19,3.5,15,avg,high,actively_looking_into_it,STAY
C100109,zero,380.1980198019802,35572.0,55,35,226074,True,2,3,145.0,291,3,4.4,2,very_unsat,little,actively_looking_into_it,LEAVE
C100111,one,921.4285714285716,26903.0,40,0,217641,True,5,1,160.0,158,4,2.3,11,very_unsat,very_little,considering,LEAVE
C100112,zero,226.22950819672133,60641.5,205,0,999740,False,2,2,238.0,334,4,2.3,13,very_sat,high,no,LEAVE
C100113,one,86.26198083067092,77769.5,213,0,206983,True,2,2,191.0,494,26,0.9,13,very_sat,little,considering,LEAVE
C100114,zero,360.0,14078.5,0,0,987767,False,0,3,174.0,238,26,1.2,13,sat,very_high,considering,STAY
C100117,zero,364.28571428571433,18115.0,40,0,225864,True,3,1,134.0,228,4,2.7,10,very_sat,little,considering,STAY
C100118,zero,1830.0,28242.5,0,0,211557,True,2,3,150.0,359,1,5.1,10,very_unsat,very_high,never_thought,STAY
C100119,one,388.2352941176471,50370.5,155,0,930738,False,1,4,161.0,376,14,2.3,8,very_unsat,little,considering,STAY
C100120,one,138.2198952879581,49142.5,65,79,340458,True,3,3,277.0,389,5,2.4,2,very_sat,little,no,LEAVE
C100121,zero,485.91549295774644,70239.0,42,14,176107,True,1,4,192.0,439,4,2.3,5,very_unsat,very_high,considering,STAY
C100122,one,265.4155495978552,100952.0,213,6,906885,False,2,1,158.0,354,14,3.3,4,unsat,little,considering,LEAVE
C100123,one,180.00000000000003,10809.5,0,86,565780,True,1,4,210.0,133,1,1.6,1,unsat,very_little,never_thought,STAY
C100124,one,750.0,42480.0,0,0,266835,True,2,2,119.0,380,25,1.5,9,very_sat,little,never_thought,LEAVE
C100125,one,981.818181818182,29746.0,65,0,470755,True,3,2,159.0,140,5,3.4,12,very_unsat,very_high,considering,LEAVE
C100126,one,315.7894736842105,56012.5,0,9,296375,True,2,1,163.0,640,0,2.0,5,avg,little,no,STAY
C100127,one,49.99999999999999,22424.5,0,80,254233,True,3,1,122.0,138,1,0.5,1,very_unsat,little,actively_looking_into_it,LEAVE
C100129,zero,322.31404958677683,92721.0,263,76,459452,True,1,1,214.0,476,26,1.9,1,very_sat,very_little,considering,LEAVE
C100130,one,1200.0,34821.0,0,11,238500,True,1,1,129.0,361,19,3.0,6,sat,little,no,STAY
C100131,zero,96.96969696969697,36372.0,0,89,525078,True,6,4,224.0,257,1,1.2,1,very_sat,little,never_thought,LEAVE
C100132,zero,559.322033898305,42070.5,195,42,248701,True,1,3,124.0,239,27,3.5,2,very_sat,very_little,no,LEAVE
C100134,one,511.7647058823529,17954.5,70,62,203164,True,1,1,242.0,184,5,1.9,1,very_unsat,very_little,considering,STAY
C100135,one,360.00000000000006,50108.5,0,0,531396,True,1,3,322.0,805,1,1.2,14,very_sat,little,considering,LEAVE
C100136,one,98.90109890109889,56802.5,50,76,322901,True,2,2,117.0,878,3,2.0,1,very_unsat,high,never_thought,LEAVE
C100137,zero,420.0,62079.0,0,0,728417,False,0,1,137.0,402,0,1.4,15,very_sat,very_high,actively_looking_into_it,LEAVE
C100138,one,117.85714285714283,69585.0,0,74,228916,True,2,2,103.0,807,1,3.3,2,very_unsat,little,no,LEAVE
C100141,one,165.64417177914112,41652.5,63,0,305015,True,0,1,167.0,389,4,1.9,13,sat,little,no,STAY
C100143,zero,1470.0000000000002,17010.0,0,0,888255,False,2,4,230.0,245,1,2.9,10,sat,very_little,no,LEAVE
C100144,one,129.11392405063293,59213.0,50,64,209496,True,4,3,78.0,696,5,3.4,2,sat,little,perhaps,LEAVE
C100146,one,204.30107526881721,56753.0,179,19,517122,True,1,2,174.0,323,14,2.9,4,very_unsat,avg,actively_looking_into_it,STAY
C100147,one,607.8431372549019,74669.5,53,24,232494,True,0,3,97.0,619,3,2.1,5,unsat,very_high,actively_looking_into_it,LEAVE
C100148,one,219.2307692307692,15523.5,0,42,656930,False,3,2,163.0,170,1,1.8,2,very_unsat,very_high,considering,LEAVE
C100150,zero,196.875,91088.5,220,0,200341,True,5,4,144.0,625,22,1.1,9,unsat,little,no,LEAVE
C100151,zero,1135.1351351351352,56043.0,48,0,829251,False,1,2,175.0,706,5,5.6,12,unsat,very_high,considering,LEAVE
C100152,zero,221.19815668202767,87442.5,221,33,492918,True,5,3,100.0,446,26,4.8,1,very_unsat,high,never_thought,LEAVE
C100153,zero,327.5862068965517,49685.0,248,0,233415,True,1,1,124.0,155,24,2.8,11,unsat,little,actively_looking_into_it,LEAVE
C100154,one,1529.9999999999998,14900.0,0,0,181762,True,2,3,223.0,184,3,3.1,2,very_sat,high,actively_looking_into_it,LEAVE
C100155,zero,370.253164556962,55772.0,216,8,153224,True,0,1,128.0,766,21,3.9,6,unsat,little,considering,LEAVE
C100156,zero,2160.0,28854.5,0,0,344547,True,4,3,148.0,290,1,5.2,8,very_unsat,avg,considering,LEAVE
C100157,one,188.6792452830189,19430.5,59,0,919648,False,5,4,164.0,192,3,1.0,8,unsat,very_little,considering,STAY
C100158,zero,403.31491712707185,57464.5,243,20,225666,True,3,1,268.0,393,14,6.3,6,unsat,very_little,actively_looking_into_it,LEAVE
C100159,one,184.46601941747574,52791.0,49,16,493308,True,3,2,88.0,322,3,2.9,4,unsat,very_high,no,STAY
C100161,one,598.1873111782477,74871.0,61,17,840318,False,2,4,126.0,828,26,6.6,5,very_unsat,little,considering,STAY
C100162,zero,678.082191780822,37030.0,46,24,582558,True,0,1,164.0,322,3,2.3,6,very_unsat,very_little,actively_looking_into_it,LEAVE
C100163,zero,666.6666666666667,21179.5,44,0,982296,False,1,1,266.0,214,4,2.2,9,very_sat,very_little,no,STAY
C100164,zero,96.55172413793105,76349.0,0,77,302495,True,2,2,203.0,451,0,1.8,5,very_unsat,very_high,considering,LEAVE
C100165,zero,539.9999999999999,13853.0,0,0,474581,True,3,2,159.0,145,21,1.8,11,very_sat,avg,actively_looking_into_it,LEAVE
C100169,zero,377.7777777777777,52749.5,170,0,654163,False,4,2,144.0,255,5,2.4,9,very_unsat,high,considering,STAY
C100171,one,933.7748344370859,16955.5,51,10,489424,True,1,4,181.0,130,1,2.7,5,very_sat,high,actively_looking_into_it,LEAVE
C100172,zero,241.07142857142856,62690.0,66,73,181566,True,2,2,77.0,819,28,6.2,1,very_unsat,very_high,considering,LEAVE
C100173,one,126.13636363636363,61585.0,0,78,561621,True,2,2,116.0,263,0,3.7,1,very_unsat,very_high,actively_looking_into_it,LEAVE
C100174,zero,79.51807228915663,60809.0,175,14,948574,False,2,3,139.0,282,17,1.1,13,avg,very_little,actively_looking_into_it,STAY
C100176,zero,515.625,57765.5,220,0,204287,True,4,2,153.0,434,28,4.5,11,very_unsat,very_high,no,STAY
C100178,zero,420.0,30341.0,0,0,170991,True,2,2,221.0,324,1,1.4,8,very_sat,little,no,LEAVE
C100179,zero,141.64305949008497,91559.5,229,73,985913,False,3,2,175.0,731,16,3.0,5,very_unsat,little,considering,LEAVE
C100181,zero,408.8888888888889,35268.0,225,35,195586,True,3,3,143.0,706,25,7.2,1,very_unsat,very_high,perhaps,LEAVE
C100183,one,144.75271411338966,16944.0,49,68,550787,True,3,3,101.0,236,5,2.0,2,very_sat,little,considering,LEAVE
C100184,zero,404.84429065743956,96804.0,189,0,526752,True,1,2,195.0,720,1,3.9,6,very_sat,little,never_thought,LEAVE
C100186,zero,236.8421052631579,90508.5,166,0,438491,True,1,1,128.0,426,0,2.1,8,avg,high,considering,LEAVE
C100188,one,334.61538461538464,48073.5,0,16,452635,True,2,3,150.0,799,1,2.9,6,unsat,very_high,never_thought,LEAVE
C100189,zero,371.42857142857144,99092.5,215,86,566251,True,1,2,152.0,618,15,2.9,1,very_unsat,little,perhaps,LEAVE
C100190,zero,1529.9999999999998,54322.5,0,26,572150,True,1,1,122.0,630,0,5.1,2,very_unsat,high,considering,STAY
C100195,one,522.1518987341772,82638.5,36,18,813289,False,2,2,206.0,701,5,3.5,5,very_unsat,very_high,actively_looking_into_it,LEAVE
C100197,one,522.2222222222222,15915.5,0,17,224988,True,2,4,217.0,206,1,4.7,4,very_sat,little,considering,STAY
C100200,one,124.30939226519337,65690.0,174,45,712152,False,2,3,134.0,331,22,2.0,2,unsat,very_little,considering,LEAVE
C100201,one,212.90322580645162,38655.5,0,21,504218,True,4,3,145.0,349,0,1.2,5,very_unsat,little,considering,STAY
C100202,zero,176.47058823529414,81967.5,223,64,536914,True,1,1,99.0,475,23,2.9,1,unsat,little,considering,STAY
C100203,zero,55.45774647887325,74768.5,166,87,327566,True,4,2,139.0,707,25,2.1,10,avg,high,actively_looking_into_it,LEAVE
C100204,zero,689.9999999999999,47697.5,0,35,253629,True,1,1,190.0,275,0,1.3,1,unsat,little,considering,LEAVE
C100205,one,359.55056179775283,94854.0,167,13,842546,False,1,4,170.0,500,24,3.2,11,unsat,little,considering,STAY
C100206,one,590.2964959568733,62303.0,61,21,795156,False,2,4,153.0,487,3,5.3,5,very_unsat,very_little,considering,LEAVE
C100209,one,47.12041884816754,76985.0,91,0,536725,True,0,2,70.0,699,4,1.3,13,very_unsat,very_little,perhaps,STAY
C100213,zero,257.87965616045847,88435.5,178,42,543954,True,2,2,154.0,661,18,5.0,2,very_unsat,little,no,LEAVE
C100214,one,264.70588235294116,21700.5,0,7,443699,True,2,3,215.0,219,1,1.5,4,very_unsat,very_little,no,STAY
C100215,one,148.93617021276594,50991.5,41,45,765633,False,0,2,130.0,378,3,1.7,2,very_unsat,very_little,actively_looking_into_it,STAY
C100216,zero,469.79865771812086,54656.5,157,19,183413,True,2,4,129.0,349,20,6.0,4,very_unsat,very_little,considering,LEAVE
C100218,one,539.9999999999999,75014.5,0,7,817785,False,1,3,140.0,442,12,2.8,4,very_unsat,little,considering,STAY
C100219,zero,506.25,74403.5,60,0,385980,True,2,2,137.0,415,1,1.7,15,very_sat,very_high,considering,STAY
C100220,zero,123.71134020618558,95247.5,215,17,405106,True,2,3,123.0,414,1,2.0,6,unsat,little,considering,LEAVE
C100221,one,158.77437325905294,72429.0,259,0,488536,True,1,2,180.0,348,20,1.9,12,unsat,little,never_thought,LEAVE
C100222,zero,82.92201382033564,19470.5,43,87,294838,True,2,4,111.0,162,5,1.8,2,avg,little,considering,LEAVE
C100223,one,442.95302013422815,19721.0,49,0,211922,True,3,2,137.0,238,5,2.2,8,unsat,very_high,actively_looking_into_it,LEAVE
C100225,zero,543.5540069686411,37462.0,67,12,150424,True,3,1,145.0,303,3,4.2,4,very_sat,high,no,LEAVE
C100226,zero,750.0,34704.5,0,0,620081,False,1,4,173.0,269,1,3.5,10,very_unsat,little,no,STAY
C100227,zero,2029.9401197604793,65765.0,67,11,324328,True,1,1,126.0,696,5,9.3,5,very_sat,little,actively_looking_into_it,LEAVE
C100228,one,118.98016997167137,24825.0,86,52,587726,True,2,2,225.0,535,1,3.8,2,very_unsat,avg,no,STAY
C100230,zero,47.67726161369194,47190.5,58,66,567406,True,4,3,129.0,387,22,1.3,2,unsat,little,considering,STAY
C100231,zero,496.68874172185434,52550.5,51,0,340507,True,2,4,140.0,329,4,1.5,14,avg,little,actively_looking_into_it,STAY
C100232,zero,600.0,33073.5,0,0,323187,True,2,4,142.0,321,1,2.0,13,unsat,very_high,considering,LEAVE
C100233,one,1410.0,28909.0,0,27,920583,False,0,1,129.0,441,0,2.7,1,very_sat,very_high,considering,LEAVE
C100234,zero,103.94265232974911,83892.0,177,56,205820,True,2,3,114.0,606,0,1.9,4,very_unsat,little,considering,LEAVE
C100235,one,165.13761467889907,35846.0,227,0,286579,True,4,3,105.0,157,10,1.8,13,very_unsat,very_little,perhaps,LEAVE
C100236,zero,1320.0000000000002,68465.0,0,0,975513,False,3,1,108.0,848,1,3.4,10,very_sat,very_little,considering,STAY
C100238,zero,847.3282442748091,61374.5,31,0,335287,True,1,2,123.0,877,5,2.7,12,very_unsat,avg,perhaps,STAY
C100239,zero,65.21739130434783,59774.0,0,13,207371,True,3,4,161.0,622,0,1.5,5,very_sat,very_high,considering,STAY
C100240,one,878.0487804878047,26528.5,64,0,244988,True,3,3,117.0,148,5,3.8,6,unsat,very_little,never_thought,STAY
C100242,one,217.39130434782612,35189.0,212,24,213560,True,3,4,215.0,134,24,3.0,15,unsat,very_little,never_thought,LEAVE
C100243,one,126.31578947368419,17032.5,0,47,573268,True,2,2,151.0,141,1,1.4,1,very_unsat,little,no,STAY
C100246,one,448.27586206896547,73879.0,74,11,971544,False,0,2,192.0,609,5,1.6,5,very_sat,little,never_thought,STAY
C100248,zero,194.3844492440605,76593.5,53,31,451740,True,3,3,109.0,406,5,4.0,2,very_unsat,high,considering,STAY
C100249,one,465.2406417112299,88025.5,87,0,371331,True,2,4,195.0,867,3,2.9,6,very_unsat,very_high,considering,STAY
C100250,one,478.1249999999999,76827.0,220,0,712896,False,1,3,118.0,525,25,3.1,15,very_unsat,very_high,no,LEAVE
C100251,zero,705.2238805970148,49277.0,168,9,991551,False,1,2,214.0,322,22,5.3,5,avg,little,considering,STAY
C100252,zero,604.1666666666666,44411.0,188,0,332773,True,1,3,130.0,343,23,3.8,8,very_sat,high,considering,LEAVE
C100255,zero,1440.0,32201.5,0,13,168768,True,1,2,190.0,348,0,3.8,5,unsat,very_high,considering,STAY
C100256,one,119.99999999999997,56178.0,0,0,928751,False,3,1,175.0,567,29,1.4,4,unsat,high,considering,STAY
C100257,one,87.2093023255814,66718.0,62,87,551185,True,2,2,179.0,845,5,3.0,1,very_unsat,little,considering,STAY
C100259,one,2070.0,25069.0,0,0,776326,False,3,4,137.0,260,0,4.9,15,avg,very_high,considering,LEAVE
C100262,zero,719.178082191781,16889.5,46,8,894859,False,1,1,150.0,692,5,3.5,6,unsat,high,actively_looking_into_it,STAY
C100263,one,438.51508120649646,30192.5,192,57,163635,True,3,2,173.0,227,29,11.6,1,very_sat,avg,never_thought,LEAVE
C100264,one,398.6710963455149,81738.5,201,0,166544,True,0,3,206.0,691,27,2.0,15,very_unsat,little,considering,LEAVE
C100266,zero,283.0188679245283,16846.5,0,43,595040,True,3,4,255.0,226,1,4.0,2,unsat,little,never_thought,LEAVE
C100268,one,487.5,69854.5,0,6,171544,True,2,3,218.0,392,1,2.6,4,very_unsat,avg,never_thought,STAY
C100270,one,1620.0,68784.5,0,7,503281,True,1,3,199.0,574,0,5.4,6,unsat,very_little,considering,STAY
C100271,one,1020.0,17671.5,0,22,718459,False,0,1,117.0,182,1,2.4,5,very_sat,very_little,actively_looking_into_it,LEAVE
C100272,one,394.73684210526324,29595.5,0,28,199156,True,3,4,131.0,410,1,5.0,2,very_unsat,little,considering,STAY
C100274,one,275.51020408163265,80230.0,198,29,819328,False,3,1,137.0,845,16,4.4,1,very_unsat,very_high,considering,LEAVE
C100275,zero,602.1505376344086,94080.0,179,0,282374,True,3,3,155.0,766,15,4.6,9,very_unsat,very_little,never_thought,STAY
C100276,one,264.7058823529412,67359.5,210,20,190563,True,2,2,297.0,395,5,2.5,4,very_sat,very_high,actively_looking_into_it,LEAVE
C100277,one,621.7105263157895,18468.0,64,14,161689,True,2,4,117.0,175,3,7.3,5,very_sat,little,no,STAY
C100278,one,302.7522935779816,38617.0,227,38,359567,True,1,3,245.0,310,24,3.3,2,very_unsat,very_high,considering,STAY
C100279,one,10.714285714285724,29271.5,0,18,337782,True,3,1,147.0,267,0,1.1,6,very_sat,very_high,considering,STAY
C100280,zero,235.29411764705884,34909.5,206,57,185637,True,0,2,166.0,137,25,1.4,2,very_sat,very_little,actively_looking_into_it,LEAVE
C100281,one,174.37722419928826,33937.5,123,62,834120,False,3,1,157.0,209,24,3.9,1,very_unsat,little,considering,LEAVE
C100282,one,480.0,24613.0,0,0,218563,True,0,4,137.0,238,23,1.6,14,very_sat,little,considering,LEAVE
C100283,one,1379.9999999999998,11412.0,0,0,943593,False,2,1,134.0,294,0,2.6,1,very_sat,little,considering,LEAVE
C100284,one,512.0,19447.5,65,21,411610,True,2,4,224.0,233,21,5.4,6,very_unsat,very_little,no,LEAVE
C100286,zero,249.1694352159469,47942.0,61,14,274830,True,3,2,129.0,306,4,2.5,6,unsat,very_high,no,STAY
C100287,one,257.14285714285717,51392.0,0,53,543117,True,3,1,93.0,472,1,3.4,1,unsat,very_little,perhaps,LEAVE
C100288,one,435.3312302839116,58555.5,217,0,646492,False,5,3,210.0,346,22,3.6,11,very_sat,very_high,considering,STAY
C100289,zero,360.38961038961037,74776.5,208,21,226333,True,1,3,160.0,177,14,3.7,5,avg,very_high,never_thought,STAY
